 factual  -189,80219780219778  0,3571428571428571  0,3571428571428571  0,2545977512420465  9
 factual  -188,3076923076923  0,3571428571428571  0,3571428571428571  0,23326505709056042  9
 factual  -188,3076923076923  0,3571428571428571  0,3571428571428571  0,23326505709056042  9
 factual  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 factual  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 factual  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 factual  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 factual  -186,81318681318677  0,3571428571428571  0,3571428571428571  0,24409483134315343  9
 factual  -186,4395604395604  0,3571428571428571  0,3571428571428571  0,25599232981783315  9
 factual  -186,4395604395604  0,3571428571428571  0,3571428571428571  0,25599232981783315  9
 factual  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 factual  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 factual  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 factual  -184,19780219780216  0,3571428571428571  0,3571428571428571  0,25483744443475986  9
 factual  -184,19780219780216  0,3571428571428571  0,3571428571428571  0,25483744443475986  9
 factual  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,2852131090386124  9
 factual  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,2852131090386124  9
 factual  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,23901769371568027  9
 factual  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,23901769371568027  9
 factual  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,23901769371568027  9
 analogical  -26,228571428571424  0,16666666666666663  0,16666666666666663  0,3925157616432784  5
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -26,228571428571424  0,16666666666666663  0,16666666666666663  0,3923123856009762  5
 analogical  -26,228571428571424  0,16666666666666663  0,0  0,4375635550132195  6
 analogical  -23,31428571428571  0,16666666666666663  0,16666666666666663  0,4031421598535692  5
 analogical  -23,31428571428571  0,16666666666666663  0,16666666666666663  0,4031421598535692  5
 analogical  -23,31428571428571  0,16666666666666663  0,0  0,4377669310555216  6
 analogical  -23,31428571428571  0,16666666666666663  0,0  0,4377669310555216  6
 analogical  -23,31428571428571  0,16666666666666663  0,16666666666666663  0,40675208460443363  5
 analogical  -22,34285714285714  0,16666666666666663  0,16666666666666663  0,41137888956680896  5
 analogical  -22,34285714285714  0,16666666666666663  0,0  0,45663005897905223  6
 analogical  -22,34285714285714  0,16666666666666663  0,16666666666666663  0,41137888956680896  5
 analogical  -22,34285714285714  0,16666666666666663  0,0  0,45663005897905223  6
 analogical  -22,34285714285714  0,16666666666666663  0,0  0,45663005897905223  6
 analogical  -22,34285714285714  0,16666666666666663  0,0  0,45663005897905223  6
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -187,9340659340659  0,3571428571428571  0,3571428571428571  0,2644251721432929  9
 creative  -186,81318681318677  0,3571428571428571  0,3571428571428571  0,24409483134315343  9
 creative  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 creative  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 creative  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 creative  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 creative  -186,06593406593404  0,3571428571428571  0,3571428571428571  0,2593480345158197  9
 creative  -184,19780219780216  0,3571428571428571  0,3571428571428571  0,25483744443475986  9
 creative  -184,19780219780216  0,3571428571428571  0,3571428571428571  0,25483744443475986  9
 creative  -181,95604395604394  0,3571428571428571  0,3571428571428571  0,2852131090386124  9
 creative  -180,92857142857142  0,3076923076923077  0,3076923076923077  0,27136621767494246  9
 creative  -180,92857142857142  0,3076923076923077  0,3076923076923077  0,27136621767494246  9
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -163,1868131868132  0,4285714285714286  0,5  0,27723786280833257  7
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 factual  -152,5359256128487  0,4285714285714286  0,4285714285714286  0,2885252331561056  8
 analogical  -24,725274725274726  0,16666666666666663  0,0  0,39444783404514955  6
 analogical  -22,747252747252748  0,16666666666666663  0,0  0,3946512100874517  6
 analogical  -21,75824175824176  0,2857142857142857  0,0  0,34756965629448855  6
 analogical  -20,76923076923077  0,2857142857142857  0,2857142857142857  0,3181818181818182  5
 analogical  -19,78021978021978  0,33333333333333337  0,16666666666666663  0,3304352247305267  5
